IsActive,Code,Description,Supplier,Brand,Category,Price,On Hand,Minimum,Maximum,Cost,COG,YTD,Package
TRUE,POCF30ML,PO color fanatic 30ml,LOREAL,PURE,RETAIL,9.25,8,3,3,5.55,44.4,17.57,FALSE
TRUE,POCVCON250ML,PO clean volume con 250ml,LOREAL,PURE,RETAIL,37.25,1,2,2,22.35,22.35,135.95,FALSE
TRUE,POCVILM145M,PO CV instant levitation mist,LOREAL,PURE,RETAIL,39.33,1,2,2,23.6,23.6,70.8,FALSE
TRUE,POCVM238G,PO clean volume mousse 238g,LOREAL,PURE,RETAIL,40.33,2,2,2,24.2,48.4,36.3,FALSE
TRUE,POCVSH250ML,PO Clean Volume sh 250ml,LOREAL,PURE,RETAIL,34.15,1,2,2,20.5,20.5,126.34,FALSE
TRUE,POHCON250ML,PO hydrate con 250ml,LOREAL,PURE,RETAIL,37.25,4,4,4,22.35,89.4,104.29,FALSE
TRUE,POHSCON250ML,PO hydrate sheer con 250ml,LOREAL,PURE,RETAIL,37.25,2,2,2,22.35,44.7,67.04,FALSE
TRUE,POHSH250ML,PO hydrate sh  250ml,LOREAL,PURE,RETAIL,34.15,2,4,4,20.5,41,155.36,FALSE
TRUE,POHSM150ML,PO Hydrate superfood masque150,LOREAL,PURE,RETAIL,40.33,2,2,2,24.2,48.4,151.24,FALSE
TRUE,POHSSH250ML,PO Hydrate sheer sh 250ml,LOREAL,PURE,RETAIL,34.15,2,2,2,20.5,41,153.65,FALSE
TRUE,POP4PCB100ML,PO P4P Cool Blonde 100ml,LOREAL,PURE,RETAIL,39.35,2,2,2,23.6,47.2,0,FALSE
TRUE,POP4PCON250M,PO perfect 4 platinum con 250m,LOREAL,PURE,RETAIL,37.25,2,2,2,22.35,44.7,33.52,FALSE
TRUE,POP4PMF145M,PO p4p Miracle filler145ml,LOREAL,PURE,RETAIL,31.1,3,2,2,9.325,27.975,0,FALSE
TRUE,POP4PRR200M,PO p4p Reconstruct Repair 200m,LOREAL,PURE,RETAIL,40.35,2,2,2,24.2,48.4,0,FALSE
TRUE,POP4PSH250ML,PO p4p shampoo 250ml,LOREAL,PURE,RETAIL,34.15,2,2,2,20.5,41,30.73,FALSE
TRUE,POPUR SH250,PO Purify sh 250ml,LOREAL,PURE,RETAIL,34.15,2,2,2,20.5,41,61.46,FALSE
TRUE,POSCCON250ML,PO strength cure con 250ml,LOREAL,PURE,RETAIL,37.25,3,2,2,22.35,67.05,70.77,FALSE
TRUE,POSCCON50ML,PO strength cure con 50ml,LOREAL,PURE,RETAIL,9.25,6,2,2,5.55,33.3,0,FALSE
